"Table","Sex","Age","Status","Total.Length","Wingspread","Weight","Skull.Length","Humerus.Length","Femur.Length","Tarsus.Length","Sternum.Length","Skull.Width"
"I.1","Male","Adult","Alive",154,241,24.5,31.2,0.687,0.668,1.022,0.83,0.587
"I.2","Male","Adult","Alive",160,252,26.9,30.8,0.736,0.709,1.18,0.841,0.602
"I.3","Male","Adult","Alive",155,243,26.9,30.6,0.733,0.704,1.151,0.846,0.602
"I.4","Male","Adult","Alive",154,245,24.3,31.7,0.741,0.688,1.146,0.839,0.584
"I.5","Male","Adult","Alive",156,247,24.1,31.5,0.715,0.706,1.129,0.821,0.575
"I.6","Male","Adult","Alive",161,253,26.5,31.8,0.78,0.743,1.144,0.893,0.607
"I.7","Male","Adult","Alive",157,251,24.6,31.1,0.741,0.736,1.153,0.862,0.61
"I.8","Male","Adult","Alive",159,247,24.2,31.4,0.728,0.718,1.126,0.793,0.609
"I.9","Male","Adult","Alive",158,247,23.6,29.8,0.703,0.673,1.079,0.82,0.602
"I.10","Male","Adult","Alive",158,252,26.2,32,0.749,0.739,1.153,0.857,0.614
"I.11","Male","Adult","Alive",160,252,26.2,32,0.741,0.723,1.129,0.892,0.624
"I.12","Male","Adult","Alive",162,253,24.8,32.3,0.766,0.752,1.134,0.923,0.633
"I.13","Male","Adult","Alive",161,243,25.4,31.8,0.721,0.722,1.126,0.891,0.597
"I.14","Male","Adult","Alive",160,250,23.7,29.8,0.73,0.703,1.103,0.82,0.59
"I.15","Male","Adult","Alive",159,247,25.7,31.4,0.729,0.717,1.141,0.927,0.592
"I.16","Male","Adult","Alive",158,253,25.7,31.9,0.743,0.699,1.15,0.86,0.6
"I.17","Male","Adult","Alive",159,247,26.5,31.6,0.733,0.714,1.155,0.923,0.611
"I.18","Male","Adult","Alive",166,253,26.7,32.5,0.767,0.765,1.23,0.878,0.6
"I.19","Male","Adult","Alive",159,247,23.9,31.4,0.752,0.723,1.113,0.825,0.602
"I.20","Male","Adult","Alive",160,248,24.7,31.3,0.752,0.737,1.176,0.803,0.603
"I.21","Male","Adult","Alive",161,252,28,31.8,0.77,0.731,1.19,0.885,0.59
"I.22","Male","Adult","Alive",163,251,27.9,31.9,0.769,0.745,1.168,0.86,0.622
"I.23","Male","Adult","Alive",156,242,25.9,32,0.723,0.711,1.116,0.886,0.609
"I.24","Male","Adult","Alive",165,251,25.7,32.2,0.751,0.742,1.161,0.865,0.613
"I.25","Male","Adult","Alive",160,247,26.6,32.4,0.728,0.707,1.108,0.836,0.59
"I.26","Male","Adult","Alive",158,244,23.2,31.6,0.73,0.713,1.142,0.888,0.585
"I.27","Male","Adult","Alive",160,242,25.7,31.6,0.709,0.705,1.124,0.788,0.62
"I.28","Male","Adult","Alive",157,245,26.3,32.2,0.741,0.726,1.143,0.85,0.595
"I.29","Male","Adult","Alive",159,244,24.3,31.5,0.723,0.698,1.107,0.847,0.615
"I.30","Male","Adult","Alive",160,253,26.7,32.1,0.739,0.714,1.117,0.864,0.592
"I.31","Male","Adult","Alive",158,245,24.9,31.4,0.726,0.703,1.119,0.854,0.58
"I.32","Male","Adult","Alive",161,247,23.8,31.4,0.735,0.694,1.101,0.789,0.602
"I.33","Male","Adult","Alive",160,247,24.6,32.3,0.756,0.745,1.135,0.905,0.607
"I.34","Male","Adult","Alive",160,247,27,32,0.755,0.736,1.174,0.873,0.631
"I.35","Male","Adult","Alive",153,241,24.7,32.2,0.728,0.68,1.092,0.884,0.592
"Ia.1","Male","Adult","Dead",165,249,26.5,31,0.738,0.704,1.095,0.847,0.606
"Ia.2","Male","Adult","Dead",160,245,26.1,32,0.736,0.709,1.109,0.842,0.611
"Ia.3","Male","Adult","Dead",161,249,25.6,32.3,0.743,0.718,1.128,0.828,0.602
"Ia.4","Male","Adult","Dead",162,246,25.9,32.3,0.738,0.709,1.135,0.869,0.607
"Ia.5","Male","Adult","Dead",163,250,25.5,32.5,0.752,0.731,1.197,0.888,0.623
"Ia.6","Male","Adult","Dead",162,247,27.6,31.8,0.731,0.719,1.113,0.869,0.597
"Ia.7","Male","Adult","Dead",163,246,25.8,31.4,0.689,0.662,1.073,0.836,0.604
"Ia.8","Male","Adult","Dead",161,246,24.9,30.5,0.739,0.726,1.138,0.803,0.58
"Ia.9","Male","Adult","Dead",160,242,26,31,0.745,0.713,1.105,0.803,0.6
"Ia.10","Male","Adult","Dead",162,246,26.5,31.5,0.72,0.696,1.092,0.809,0.606
"Ia.11","Male","Adult","Dead",160,249,26,31.4,0.726,0.689,1.097,0.85,0.602
"Ia.12","Male","Adult","Dead",161,250,27.1,31.6,0.737,0.711,1.12,0.852,0.631
"Ia.13","Male","Adult","Dead",162,248,25.1,31.9,0.744,0.722,1.154,0.839,0.591
"Ia.14","Male","Adult","Dead",165,252,26,32.3,0.726,0.71,1.145,0.887,0.609
"Ia.15","Male","Adult","Dead",161,243,25.6,32.5,0.709,0.707,1.122,0.832,0.607
"Ia.16","Male","Adult","Dead",161,244,25,31.3,0.702,0.685,1.082,0.874,0.595
"Ia.17","Male","Adult","Dead",162,248,24.6,31,0.713,0.7,1.086,0.837,0.59
"Ia.18","Male","Adult","Dead",164,244,25,31.2,0.703,0.69,1.074,0.795,0.608
"Ia.19","Male","Adult","Dead",158,247,26,32,0.729,0.71,1.145,0.803,0.607
"Ia.20","Male","Adult","Dead",162,253,28.3,31.8,0.752,0.718,1.152,0.857,0.6
"Ia.21","Male","Adult","Dead",156,239,24.6,30.5,0.659,0.658,1.042,0.81,0.57
"Ia.22","Male","Adult","Dead",166,251,27.5,31.5,0.72,0.691,1.118,0.847,0.612
"Ia.23","Male","Adult","Dead",165,253,31,32.4,0.765,0.75,1.183,0.905,0.613
"Ia.24","Male","Adult","Dead",166,250,28.3,32.4,0.754,0.718,1.179,0.916,0.607
"II.36","Male","Young","Alive",156,246,24.6,32,0.741,0.735,1.167,0.849,0.592
"II.37","Male","Young","Alive",156,245,25.5,32.1,0.761,0.717,1.147,0.816,0.62
"II.38","Male","Young","Alive",163,248,24.8,32.2,0.742,0.733,1.165,0.854,0.606
"II.39","Male","Young","Alive",163,248,26.3,33,0.736,0.704,1.148,0.839,0.609
"II.40","Male","Young","Alive",160,250,24.4,31.5,0.746,0.715,1.173,0.893,0.604
"II.41","Male","Young","Alive",156,237,23.3,30.6,0.692,0.664,1.011,0.774,0.588
"II.42","Male","Young","Alive",162,253,26.7,32,0.759,0.734,1.197,0.878,0.63
"II.43","Male","Young","Alive",163,254,26.4,32,0.766,0.75,1.165,0.886,0.605
"II.44","Male","Young","Alive",164,251,26.9,32,0.755,0.742,1.171,0.886,0.62
"II.45","Male","Young","Alive",163,244,24.3,31.3,0.718,0.68,1.082,0.892,0.61
"II.46","Male","Young","Alive",160,247,27,31.5,0.764,0.732,1.177,0.846,0.617
"II.47","Male","Young","Alive",160,250,26.8,32.5,0.764,0.729,1.123,0.842,0.635
"II.48","Male","Young","Alive",158,247,24.9,32.4,0.745,0.724,1.139,0.865,0.588
"II.49","Male","Young","Alive",158,249,26.1,32.2,0.742,0.736,1.148,0.817,0.602
"II.50","Male","Young","Alive",158,243,26.6,32.4,0.747,0.711,1.163,0.891,0.612
"II.51","Male","Young","Alive",155,237,23.3,30.2,0.685,0.653,1.011,0.794,0.587
"IIa.25","Male","Young","Dead",160,249,24.2,30.4,0.74,0.717,1.13,0.84,0.62
"IIa.26","Male","Young","Dead",156,236,26.8,30,0.69,0.671,1.067,0.832,0.563
"IIa.27","Male","Young","Dead",158,240,23.5,31,0.715,0.702,1.113,0.805,0.595
"IIa.28","Male","Young","Dead",166,245,26.9,31.7,0.715,0.695,1.107,0.847,0.604
"IIa.29","Male","Young","Dead",165,255,28.6,31.5,0.766,0.744,1.175,0.854,0.613
"IIa.30","Male","Young","Dead",157,238,24.7,31.2,0.68,0.677,1.156,0.769,0.599
"IIa.31","Male","Young","Dead",164,250,27.3,31.8,0.764,0.726,1.171,0.86,0.588
"IIa.32","Male","Young","Dead",166,256,25.7,31.7,0.752,0.751,1.187,0.858,0.595
"IIa.33","Male","Young","Dead",167,255,29,32.2,0.765,0.745,1.197,0.855,0.638
"IIa.34","Male","Young","Dead",161,246,25,31.5,0.739,0.707,1.123,0.85,0.587
"IIa.35","Male","Young","Dead",166,254,27.5,31.4,0.76,0.742,1.124,0.914,0.604
"IIa.36","Male","Young","Dead",161,251,26,31.5,0.731,0.707,1.122,0.828,0.589
"III.52","Female","Unknown","Alive",156,245,25.3,31.6,0.729,0.71,1.152,0.809,0.62
"III.53","Female","Unknown","Alive",154,240,22.6,30.4,0.705,0.686,1.103,0.77,0.584
"III.54","Female","Unknown","Alive",153,240,25.1,31,0.724,0.713,1.123,0.812,0.585
"III.55","Female","Unknown","Alive",153,236,23.2,30.9,0.698,0.678,1.132,0.795,0.596
"III.56","Female","Unknown","Alive",155,243,24.4,31.5,0.734,0.736,1.17,0.801,0.596
"III.57","Female","Unknown","Alive",163,247,25.1,32,0.748,0.734,1.166,0.821,0.602
"III.58","Female","Unknown","Alive",157,238,24.6,30.9,0.726,0.727,1.175,0.797,0.588
"III.59","Female","Unknown","Alive",155,239,24,32.8,0.732,0.742,1.175,0.835,0.601
"III.60","Female","Unknown","Alive",164,248,24.2,32.7,0.752,0.752,1.201,0.83,0.604
"III.61","Female","Unknown","Alive",158,238,24.9,31,0.741,0.689,1.091,0.866,0.592
"III.62","Female","Unknown","Alive",158,240,24.1,31.3,0.733,0.706,1.107,0.867,0.591
"III.63","Female","Unknown","Alive",160,244,24,31.1,0.731,0.73,1.152,0.808,0.589
"III.64","Female","Unknown","Alive",161,246,26,32.3,0.758,0.732,1.154,0.859,0.623
"III.65","Female","Unknown","Alive",157,245,24.9,32,0.752,0.74,1.186,0.787,0.593
"III.66","Female","Unknown","Alive",157,235,25.5,31.5,0.712,0.704,1.132,0.781,0.611
"III.67","Female","Unknown","Alive",156,237,23.4,30.9,0.708,0.691,1.123,0.798,0.613
"III.68","Female","Unknown","Alive",158,244,25.9,31.4,0.729,0.705,1.146,0.851,0.597
"III.69","Female","Unknown","Alive",153,238,24.2,30.5,0.715,0.707,1.116,0.821,0.595
"III.70","Female","Unknown","Alive",155,236,24.2,30.3,0.727,0.705,1.12,0.79,0.585
"III.71","Female","Unknown","Alive",163,246,27.4,32.5,0.732,0.711,1.163,0.862,0.63
"III.72","Female","Unknown","Alive",159,236,24,31.5,0.709,0.713,1.129,0.845,0.607
"IIIa.37","Female","Unknown","Dead",155,240,26.3,31.4,0.709,0.71,1.123,0.815,0.614
"IIIa.38","Female","Unknown","Dead",156,240,25.8,31.5,0.715,0.678,1.127,0.812,0.597
"IIIa.39","Female","Unknown","Dead",160,242,26,32.6,0.74,0.732,1.157,0.854,0.597
"IIIa.40","Female","Unknown","Dead",152,232,23.2,30.3,0.676,0.683,1.048,0.78,0.59
"IIIa.41","Female","Unknown","Dead",160,250,26.5,31.7,0.741,0.731,1.187,0.886,0.615
"IIIa.42","Female","Unknown","Dead",155,237,24.2,31,0.727,0.723,1.118,0.787,0.61
"IIIa.43","Female","Unknown","Dead",157,245,26.9,32.2,0.766,0.751,1.227,0.841,0.62
"IIIa.44","Female","Unknown","Dead",165,245,27.7,33.1,0.78,0.757,1.195,0.865,0.633
"IIIa.45","Female","Unknown","Dead",153,231,23.9,30.1,0.68,0.662,1.042,0.781,0.592
"IIIa.46","Female","Unknown","Dead",162,239,26.1,30.3,0.709,0.685,1.092,0.911,0.587
"IIIa.47","Female","Unknown","Dead",162,243,24.6,31.6,0.741,0.729,1.162,0.84,0.605
"IIIa.48","Female","Unknown","Dead",159,245,23.6,31.8,0.727,0.7,1.129,0.855,0.61
"IIIa.49","Female","Unknown","Dead",159,247,26,30.9,0.711,0.666,1.098,0.749,0.58
"IIIa.50","Female","Unknown","Dead",155,243,25,30.9,0.73,0.711,1.127,0.839,0.598
"IIIa.51","Female","Unknown","Dead",162,252,24.8,31.9,0.752,0.738,1.18,0.875,0.615
"IIIa.52","Female","Unknown","Dead",152,230,22.8,30.4,0.682,0.664,1.042,0.734,0.551
"IIIa.53","Female","Unknown","Dead",159,242,24.8,30.8,0.717,0.667,1.09,0.809,0.575
"IIIa.54","Female","Unknown","Dead",155,238,24.6,31.2,0.706,0.702,1.102,0.758,0.588
"IIIa.55","Female","Unknown","Dead",163,249,30.5,33.4,0.767,0.767,1.207,0.896,0.64
"IIIa.56","Female","Unknown","Dead",163,242,24.8,31,0.713,0.713,1.128,0.813,0.607
"IIIa.57","Female","Unknown","Dead",156,237,23.9,31.7,0.718,0.716,1.09,0.8,0.611
"IIIa.58","Female","Unknown","Dead",159,238,24.7,31.5,0.726,0.701,1.145,0.8,0.6
"IIIa.59","Female","Unknown","Dead",161,245,26.9,32.1,0.751,0.704,1.142,0.819,0.607
"IIIa.60","Female","Unknown","Dead",155,235,22.6,30.7,0.695,0.692,1.119,0.771,0.584
"IIIa.61","Female","Unknown","Dead",162,247,26.1,31.9,0.751,0.735,1.157,0.802,0.618
"IIIa.62","Female","Unknown","Dead",153,237,24.8,30.6,0.732,0.718,1.172,0.802,0.594
"IIIa.63","Female","Unknown","Dead",162,245,26.2,32.5,0.728,0.731,1.102,0.832,0.614
"IIIa.64","Female","Unknown","Dead",164,248,26.1,32.3,0.739,0.707,1.159,0.823,0.592
